caption_sentence,cleaned_tokens
Kind: captions Language: en I<00:00:04.560><c> am</c><00:00:04.720><c> build</c><00:00:05.040><c> as</c><00:00:05.279><c> the</c><00:00:05.440><c> world's</c><00:00:05.759><c> greatest</c><00:00:06.160><c> mind</c> I am build as the world's greatest mind I am build as the world's greatest mind readader.<00:00:07.279><c> But</c><00:00:07.520><c> guess</c><00:00:07.759><c> what?</c><00:00:08.639><c> I</c><00:00:08.880><c> can't</c><00:00:09.040><c> read</c> readader.,"['kind', 'caption', 'language', 'build', 'world', 'greatest', 'mind', 'build', 'world', 'greatest', 'mind', 'build', 'world', 'greatest', 'mind', 'readader', 'guess', 'cant', 'read', 'readader']"
But guess what?,['guess']
I can't read readader.,"['cant', 'read', 'readader']"
But guess what?,['guess']
I can't read minds.<00:00:10.480><c> What</c><00:00:10.719><c> I</c><00:00:10.960><c> can</c><00:00:11.200><c> do</c><00:00:11.599><c> is</c><00:00:12.000><c> read</c><00:00:12.639><c> people.</c> minds.,"['cant', 'read', 'mind', 'read', 'people', 'mind']"
What I can do is read people.,"['read', 'people']"
minds.,['mind']
What I can do is read people.,"['read', 'people']"
"And<00:00:14.400><c> people</c><00:00:14.719><c> ask</c><00:00:15.440><c> a</c><00:00:15.759><c> question</c><00:00:16.080><c> all</c><00:00:16.320><c> the</c><00:00:16.560><c> time,</c> And people ask a question all the time, And people ask a question all the time, which<00:00:17.199><c> is</c><00:00:17.760><c> were</c><00:00:17.920><c> you</c><00:00:18.080><c> born</c><00:00:18.640><c> with</c><00:00:18.880><c> this?</c><00:00:19.840><c> And</c> which is were you born with this?","['people', 'ask', 'question', 'time', 'people', 'ask', 'question', 'time', 'people', 'ask', 'question', 'time', 'born', 'born']"
And which is were you born with this?,['born']
And the<00:00:20.320><c> answer</c><00:00:20.480><c> is</c><00:00:20.880><c> no.</c><00:00:21.279><c> Of</c><00:00:21.439><c> course</c><00:00:21.600><c> not.</c> the answer is no.,"['answer', 'course', 'answer']"
Of course not.,['course']
the answer is no.,['answer']
Of course not.,['course']
Absolutely<00:00:22.400><c> not.</c><00:00:23.039><c> I</c><00:00:23.359><c> do</c><00:00:23.519><c> not</c><00:00:23.680><c> possess</c><00:00:24.000><c> any</c> Absolutely not.,"['absolutely', 'possess', 'absolutely']"
I do not possess any Absolutely not.,"['possess', 'absolutely']"
I do not possess any supernatural<00:00:24.960><c> powers.</c><00:00:26.400><c> I</c><00:00:26.720><c> am</c><00:00:26.880><c> not</c><00:00:27.039><c> a</c><00:00:27.279><c> psychic.</c> supernatural powers.,"['possess', 'supernatural', 'power', 'psychic', 'supernatural', 'power']"
I am not a psychic.,['psychic']
supernatural powers.,"['supernatural', 'power']"
I am not a psychic.,['psychic']
"This<00:00:28.480><c> is</c><00:00:28.560><c> a</c><00:00:28.800><c> learnable</c><00:00:29.279><c> skill</c><00:00:30.000><c> that</c><00:00:30.320><c> I</c><00:00:30.480><c> feel</c> This is a learnable skill that I feel This is a learnable skill that I feel anyone<00:00:31.199><c> could</c><00:00:31.439><c> do,</c><00:00:32.480><c> but</c><00:00:32.719><c> I've</c><00:00:32.960><c> applied</c><00:00:33.360><c> for</c> anyone could do, but I've applied for anyone could do, but I've applied for about<00:00:34.160><c> roughly</c><00:00:34.719><c> three</c><00:00:35.040><c> decades</c><00:00:36.399><c> at</c><00:00:36.719><c> reverse</c> about roughly three decades at reverse about roughly three decades at reverse engineering<00:00:38.000><c> the</c><00:00:38.239><c> human</c><00:00:38.480><c> mind.</c><00:00:39.360><c> If</c><00:00:39.600><c> I</c><00:00:39.760><c> know</c> engineering the human mind.","['learnable', 'skill', 'feel', 'learnable', 'skill', 'feel', 'learnable', 'skill', 'feel', 'anyone', 'could', 'ive', 'applied', 'anyone', 'could', 'ive', 'applied', 'anyone', 'could', 'ive', 'applied', 'roughly', 'three', 'decade', 'reverse', 'roughly', 'three', 'decade', 'reverse', 'roughly', 'three', 'decade', 'reverse', 'engineering', 'human', 'mind', 'know', 'engineering', 'human', 'mind']"
If I know engineering the human mind.,"['know', 'engineering', 'human', 'mind']"
"If I know how<00:00:40.160><c> you</c><00:00:40.399><c> think,</c><00:00:41.280><c> I</c><00:00:41.520><c> know</c><00:00:41.680><c> what</c><00:00:41.920><c> you</c><00:00:42.079><c> think.</c> how you think, I know what you think.","['know', 'think', 'know', 'think', 'think', 'know', 'think']"
"how you think, I know what you think.","['think', 'know', 'think']"
And<00:00:43.120><c> I</c><00:00:43.360><c> want</c><00:00:43.440><c> to</c><00:00:43.600><c> ask</c><00:00:43.920><c> each</c><00:00:44.160><c> and</c><00:00:44.399><c> every</c><00:00:44.559><c> one</c><00:00:44.719><c> of</c> And I want to ask each and every one of And I want to ask each and every one of you<00:00:44.879><c> in</c><00:00:45.040><c> this</c><00:00:45.200><c> room</c><00:00:45.440><c> a</c><00:00:45.680><c> question.</c><00:00:46.480><c> But</c><00:00:46.640><c> before</c> you in this room a question.,"['want', 'ask', 'every', 'one', 'want', 'ask', 'every', 'one', 'want', 'ask', 'every', 'one', 'room', 'question', 'room', 'question']"
But before you in this room a question.,"['room', 'question']"
"But before we<00:00:46.960><c> do,</c><00:00:47.280><c> take</c><00:00:47.360><c> a</c><00:00:47.520><c> deep</c><00:00:47.680><c> breath</c><00:00:47.840><c> in.</c><00:00:48.160><c> Take</c><00:00:48.320><c> a</c> we do, take a deep breath in.","['take', 'deep', 'breath', 'take', 'take', 'deep', 'breath']"
"Take a we do, take a deep breath in.","['take', 'take', 'deep', 'breath']"
Take a deep<00:00:48.640><c> breath</c><00:00:48.879><c> in.</c><00:00:50.320><c> Exhale</c><00:00:50.800><c> out.</c><00:00:52.160><c> And</c><00:00:52.480><c> close</c> deep breath in.,"['take', 'deep', 'breath', 'exhale', 'close', 'deep', 'breath']"
Exhale out.,['exhale']
And close deep breath in.,"['close', 'deep', 'breath']"
Exhale out.,['exhale']
